religion,Denomination,sub denomination,sub denomination 2,leader,since,days
Christianity,,Protestantism,Protestantism / Baptist / International Union of Churches of Evangelical Christians-Baptists,Nikolay Antonyuk / Chairman,2008,
Christianity,,Protestantism,Protestantism / Baptist / Evangelical Baptist Church of Georgia,Malkhaz Songulashvili / Bishop,present,
Christianity,,Protestantism,Protestantism / Baptist / Russian Union of Evangelical Christians-Baptists,Peter Mickiewicz / President,2018,
Christianity,,Protestantism,Protestantism / Baptist / Union of Evangelical Christian Baptists of Kazakhstan,Frans G. Tissen / President,present,
Christianity,,Protestantism,Protestantism / Baptist / Baptist Union of Romania,Otniel Bunaciu / President,2007,
Christianity,,Protestantism,Protestantism / Baptist / Association of Reformed Baptist Churches of America,Gordon Taylor / Coordinator,2008,
Christianity,,Protestantism,Protestantism / Baptist / Baptist Joint Committee for Religious Liberty,Amanda Tyler - Executive Director,2017,
Christianity,,Protestantism,Protestantism / Baptist / Baptist Missionary Association of America,John David Smith / Executive Director,2010,
Christianity,,Protestantism,Protestantism / Baptist / Conservative Baptist Association of America,Stan Rieb / National Network Facilitator,2009,
Christianity,,Protestantism,Protestantism / Baptist / Cooperative Baptist Fellowship,Daniel Vestal / Coordinator,1996,
Christianity,,Protestantism,Protestantism / Baptist / Full Gospel Baptist Church Fellowship,Paul S. Morton / International Presiding Bishop,1994,
Christianity,,Protestantism,Protestantism / Baptist / National Baptist Convention / USA / Inc.,Jerry Young / President,2014,
Christianity,,Protestantism,Protestantism / Baptist / Progressive National Baptist Convention / President,James C. Perkins / President,2014,
Christianity,,Protestantism,Protestantism / Baptist / Southern Baptist Convention,Clint Pressley / President,2024,
Christianity,,Protestantism,Protestantism / Holiness / Church of the Nazarene,Eugenio Duarte / General Superintendent,2009,
Christianity,,Protestantism,Protestantism / Holiness / Church of the Nazarene,David Busic / General Superintendent,2013,
Christianity,,Protestantism,Protestantism / Holiness / Church of the Nazarene,Carla Sunberg / General Superintendent,2017,
Christianity,,Protestantism,Protestantism / Holiness / Pillar of Fire International,Joseph Gross / General Superintendent,2008,
Christianity,,Protestantism,Protestantism / Holiness / Salvation Army,Lyndon Buckingham / General,2023,
Christianity,,Protestantism,Protestantism / Lutheranism / Confessional Evangelical Lutheran Conference,Daniel Koelpin / President,2011,
Christianity,,Protestantism,Protestantism / Lutheranism / International Lutheran Council / Executive Secretary,Samuel H. Nafzger / Executive Secretary,2001,
Christianity,,Protestantism,Protestantism / Lutheranism / Lutheran World Federation,Henrik Stubkjær (Palestine) / President,2023,
Christianity,,Protestantism,Protestantism / Lutheranism / Evangelical Lutheran Church of Estonia,Urmas Viilma / Archbishop,2015,
Christianity,,Protestantism,Protestantism / Lutheranism / Evangelical Lutheran Church of Estonia / Evangelical Lutheran Church of Estonia Church Abroad,Thomas Vaga / Acting Bishop,2011,
Christianity,,Protestantism,Protestantism / Lutheranism / Evangelical Lutheran Church of Finland,Tapio Luoma / Archbishop of Turku,2018,
Christianity,,Protestantism,Protestantism / Lutheranism / Church of Norway,Harald V of Norway / King of Norway,1991,
Christianity,,Protestantism,Protestantism / Lutheranism / Swedish Church,Martin Modéus / Lutheran Primate of Sweden,2022,
Christianity,,Protestantism,Protestantism / Lutheranism / Lutheran Church–Missouri Synod,Matthew C. Harrison / President,2010,
Christianity,,Protestantism,Protestantism / Lutheranism / Evangelical Lutheran Church in America,Elizabeth Eaton / Presiding Bishop,2013,
Christianity,,Protestantism,Protestantism / Lutheranism / Lutheran Congregations in Mission for Christ,Mark Vander Tuig / National Service Coordinator,2010,
Christianity,,Protestantism,Protestantism / Lutheranism / Wisconsin Evangelical Lutheran Synod,Mark G. Schroeder / President,2007,
Christianity,,Protestantism,Protestantism / Lutheranism / Evangelical Lutheran Church in Canada,Susan Johnson / National Bishop,2007,
Christianity,,Protestantism,Protestantism / Methodism / African Methodist Episcopal Church,Clement W. Fugh / General Secretary,2000,
Christianity,,Protestantism,Protestantism / Methodism / Chinese Methodist Church in Australia,James Kwang / Bishop,2010,
Christianity,,Protestantism,Protestantism / Methodism / Free Methodist Church in Canada,Cliff Fletcher / Bishop,2017,
Christianity,,Protestantism,Protestantism / Methodism / Iglesia Evangelica Metodista en las Islas Filipinas,Nathaniel P. Lazaro / General Superintendent,2000,
Christianity,,Protestantism,Protestantism / Methodism / Methodist Church Ghana,Emmanuel Asante / Presiding Bishop,2009,
Christianity,,Protestantism,Protestantism / Methodism / Methodist Church in Malaysia,Hwa Yung / Bishop,2004,
Christianity,,Protestantism,Protestantism / Methodism / Methodist Church of Southern Africa / President,Ivan M Abrahams / President,2003,
Christianity,,Protestantism,Protestantism / Methodism / Methodist Church of Southern Africa / General Secretary,Vuyani G Nyobole / General Secretary,2005,
Christianity,,Protestantism,Protestantism / Methodism / United Methodist Church,Warner Brown / President of the Council of Bishops,2014,
Christianity,,Protestantism,Protestantism / Pentecostalism / Assemblies of God / United States,Doug E. Clay / General superintendent,2017,
Christianity,,Protestantism,Protestantism / Pentecostalism / Grace Communion International,Joseph Tkach Jr. / President and pastor general,1995,
Christianity,,Protestantism,Protestantism / Pentecostalism / New Apostolic Church,Jean-Luc Schneider,2013,
Christianity,,Protestantism,Protestantism / Other protestant / Christian Church (Disciples of Christ),Teresa Hord Owens / General Minister and President,2017,
Christianity,,Protestantism,Protestantism / Other protestant / Seventh-day Adventists,Erton Köhler / General Conference President,2025,
Christianity,,Protestantism,Protestantism / Other protestant / General Assembly of Unitarian and Free Christian Churches (UK),Liz Slade / Chief Officer,2019,
Christianity,,Protestantism,Uniting Church in Australia,Colleen Geyer / General Secretary,2016,
Christianity,,Protestantism,United Church of Canada,Kimberly Heath / Moderator,2025,
Christianity,Protestantism,Anglicanism,Anglicanism / Provinces of the Anglican Communion / Church of England / Formal leadership,Charles III / Supreme Governor of the Church of England,2022,
Christianity,Protestantism,Anglicanism,Anglicanism / Provinces of the Anglican Communion / Church of England / Effective leadership,Sarah Mullally / Archbishop of Canterbury,2026,
Christianity,Protestantism,Anglicanism,Anglicanism / Provinces of the Anglican Communion / Anglican Church of Australia,Mark Short / Primate,2025,
Christianity,Protestantism,Anglicanism,Anglicanism / Provinces of the Anglican Communion / Anglican Church of Canada,Shane Parker / Primate,2025,
Christianity,Protestantism,Anglicanism,Anglicanism / Provinces of the Anglican Communion / Episcopal Church in the United States of America,Sean Rowe / Presiding Bishop,2024,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Anglican Catholic Church,Mark Haverland / Metropolitan of the Original Province,2005,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Anglican Orthodox Church,Jerry L. Ogles / Presiding Bishop,2003,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Federation of Anglican Churches in the Americas / Anglican Church in America,Louis Falk / President of the House of Bishops,2005,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Federation of Anglican Churches in the Americas / Anglican Province of America,Chandler Holder Jones / Presiding Bishop,2021,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Diocese of the Holy Cross,Paul C. Hewett / Diocesan Bishop,2006,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Federation of Anglican Churches in the Americas / Episcopal Missionary Church,Council Nedd II / Presiding Bishop,2005,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Federation of Anglican Churches in the Americas / Reformed Episcopal Church,Ray Sutton / Presiding Bishop,2017,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Fellowship of Confessing Anglicans,Eliud Wabukala / Chairman,2008,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Anglican Church in North America,Steve Wood / Primate,2024,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Church of England in South Africa,Desmond Inglesby / Presiding Bishop,2010,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / North American Anglican Conference / Anglican Episcopal Church,George Connor / Presiding Bishop,2006,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / North American Anglican Conference / Diocese of the Great Lakes,David T. Hustwick / Bishop Ordinary,2002,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Orthodox Anglican Communion,Thomas Gordon / Metropolitan Archbishop,2015,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Orthodox Anglican Communion / Orthodox Anglican Church,Thomas Gordon / Presiding Bishop,2015,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Traditional Anglican Communion,Shane B. Jenzen / Primate,2017,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Traditional Anglican Communion / Anglican Catholic Church in Australia,Michael Pope / Archbishop,2013,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Traditional Anglican Communion / Anglican Catholic Church of Canada,Peter Wilkinson / Bishop and Metropolitan,2005,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Anglican Church of India,Stephen Vattappara / Metropolitan Bishop,1990,
Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Traditional Anglican Communion / Anglican Church in America,Louis Falk / President of the House of Bishops,2005,
Christianity,Protestantism,Anglicanism,United Episcopal Church of North America,Peter D. Robinson / Presiding Bishop,2010,
Christianity,,,Other Christian denominations / Believers Eastern Church,Samuel Theophilus / Metropolitan,2024,
Christianity,,,Other Christian denominations / Church of God Ministry of Jesus Christ International,María Luisa Piraquive / World Leader,1996,
Christianity,,,Other Christian denominations / Assyrian Church of the East,Mar Awa III / Patriarch,2021,
Christianity,,,Other Christian denominations / Ancient Church of the East,Yacob III Daniel / Patriarch,2022,
Christianity,,,Other Christian denominations / Malankara Marthoma Syrian Church,Theodosius Mar Thoma / Marthoma Metropolitan,2020,
Christianity,,,Other Christian denominations / Members Church of God International,Daniel Soriano Razon / Presiding Minister,2021,
Christianity,,,Other Christian denominations / The Church of Jesus Christ of Latter-day Saints,Dallin H. Oaks / President,2025,
Christianity,,,Other Christian denominations / Iglesia ni Cristo,Eduardo V. Manalo / Executive Minister,2009,
Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Gerrit Lösch,1994,
Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Samuel F. Herd,1999,
Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,M. Stephen Lett,1999,
Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,David H. Splane,1999,
Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Geoffrey W. Jackson,2005,
Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,D. Mark Sanderson,2012,
Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Kenneth E. Cook Jr,2018,
Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Gage Fleegle,2023,
Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Jeffrey Winder,2023,
Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Jody Jedele,2024,
Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Jacob Rumph,2024,
Christianity,,,Other Christian denominations / National Council of the Churches of Christ in the USA,Jim Winkler / General Secretary,2014,
Christianity,,,Other Christian denominations / Unification Church,Hak Ja Han / 'True Mother'/Acting Leader,2012,
Christianity,,,Other Christian denominations / World Council of Churches,Jerry Pillay / General Secretary,2023,
Hinduism,,,Ramanandi Sampradaya,Rambhadracharya / Jagadguru Acharya,1988,
Hinduism,,,Sanatan Dharma Maha Sabha,Rampersad Parasram / Dharmacharya,2019,
Hinduism,,,Gaudiya Vaishnavism / Gaudiya Mission,Bhakti Sundar Sanyasi Maharaj / president-acharya,2018,
Hinduism,,,Gaudiya Vaishnavism / Gaudiya Vedanta Samiti,Bhakti Vedanta Budhayan Goswami / president-acharya,2020,
Hinduism,,,Gaudiya Vaishnavism / Science of Identity Foundation,Siddhaswarupananda Paramahamsa,1977,
Hinduism,,,Gaudiya Vaishnavism / Sri Caitanya Prema Samsthana,Shrivatsa Goswami / director,1972,
Hinduism,,,Gaudiya Vaishnavism / Sri Chaitanya Saraswat Math,Bhakti Nirmal Acharya / president-acharya,2010,
Hinduism,,,Gaudiya Vaishnavism / The Vaishnava Foundation,Kailasa Candra Dasa,1986,
Hinduism,,,Gaudiya Vaishnavism / World Vaisnava Association,Srila Bhakti B. Tirtha Maharaj / President,2002,
Hinduism,,,Smarta tradition / Shankaracharyas,Swami Nischalanand Saraswati / Shankaracharya of Govardhan Math / Puri,1992,
Hinduism,,,Smarta tradition / Shankaracharyas,Swami Bharati Tirtha Mahasannidhanam / Shankaracharya of Sringeri Sharada Peetham / Sringeri,1974,
Hinduism,,,Swaminarayan Sampradaya / Ahmedabad Nar Narayan Dev Gadi,Acharya Shree Koshalendraprasadji Maharaj,2004,
Hinduism,,,Swaminarayan Sampradaya / Vadtal Laxmi Narayan Dev Gadi,Acharya Shree Ajendraprasadji Maharaj,1984,
Hinduism,,,Swaminarayan Sampradaya / Vadtal Laxmi Narayan Dev Gadi / Swaminarayan Gurukul,Guruvarya Shri Devkrushnadasji Swami,1974,
Hinduism,,,Swaminarayan Sampradaya / Vadtal Laxmi Narayan Dev Gadi / Swaminarayan Gurukul,Acharya Shree Rakeshprasadji Maharaj,2003,
Hinduism,,,Swaminarayan Sampradaya / BAPS,Mahant Swami Maharaj / President,2016,
Hinduism,,,Swaminarayan Sampradaya / Swaminarayan Mandir Vasna Sanstha,HDH Swamishri / President,2019,
Hinduism,,,Swaminarayan Sampradaya / Gunatit Samaj,Premswarup Swamiji Maharaj / President-Haridham Sokhada / HSAPSS,2021,
Hinduism,,,Swaminarayan Sampradaya / Gunatit Samaj,Jashbhai Sahebji - Anoopam Mission,1966,
Hinduism,,,Swaminarayan Sampradaya / Swaminarayan Gadi (Maninagar),Jitendrapriyadasji Swami,2020,
Hinduism,,,Hindu new movements / Art of Living Foundation,Sri Sri Ravishankar / Spiritual Leader / Humanitarian,1981,
Hinduism,,,Hindu new movements / Isha Foundation,Sadhguru Jaggi Vasudev,1992,
Hinduism,,,Hindu new movements / Jagadguru Kripalu Parishat,Vishaka Tripathi (President),present,
Hinduism,,,Hindu new movements / Jagadguru Kripalu Parishat,Shyama Tripathi (President),present,
Hinduism,,,Hindu new movements / Jagadguru Kripalu Parishat,Krishna Tripathi (President),present,
Hinduism,,,Hindu new movements / Mahanam Sampraday,Upashak Bandhu Bhramachariji (India),present,
Hinduism,,,Hindu new movements / Mahanam Sampraday,Kanti Bandhu Bhramachariji (Bangladesh),present,
Hinduism,,,Hindu new movements / Mata Amritanandamayi Math,Mata Amritanandamayi / Spiritual Leader / Humanitarian,1981,
Hinduism,,,Hindu new movements / Ramakrishna Mission/Vedanta Society,Swami Gautamananda / President,2024,
Islam,Sunni,Barelvi,Sunni / International / Barelvi movement / Dawat-e-Islami,Muhammad Ilyas Qadri / Amir of Ahlussunnah–Emir of Sunnis,1981,
Islam,Sunni,Barelvi,Sunni / International / Barelvi movement / Sunni Dawate Islami,Shakir Ali Noori / Ameer,1990,
Islam,Sunni,Barelvi,Sunni / International / Barelvi movement / World Islamic Mission,Qamaruzzaman Azmi / President,present,
Islam,Sunni,Barelvi,Sunni / International / Barelvi movement / World Sunni Movement,Syed Mohammad Saifur Rahman / Chief Advisor,present,
Islam,Sunni,,Sunni / International / Deobandi movement,Taqi Usmani / Sheikh ul Islam,2004,
