religion,Denomination,sub denomination,sub denomination 2,leader,since,days
Islam,,,Shia / Twelver / Marja' (current list),Ali al-Sistani,1980,
Islam,,,Shia / Twelver / Marja' (current list),Naser Makarem Shirazi,1998,
Islam,,,Shia / Twelver / Marja' (current list),Hossein Waheed Khorasani,1995,
Islam,,,Shia / Twelver / Ahl Al-Bayt World Assembly,Mohammad Hasan Akhtari / General Secretary,present,
Islam,,,Shia / Twelver / Bektashi Order,Baba Mondi,2011,
Islam,,,Shia / Twelver / Religious Council of the Caucasus,Allahshukur Pashazadeh / Grand Mufti of the Caucasus,1992,
Islam,,,Shia / Ismaili / Dawoodi Bohras,Mufaddal Saifuddin / 53rd Da'i al-Mutlaq,2014,
Islam,,,Shia / Ismaili / Alawi Bohras,Haatim Zakiyuddin / 45th Da'i al-Mutlaq,2015,
Islam,,,Shia / Ismaili / Nizari Ismailism,Aga Khan V / 50th Imam,2025,
Islam,,,Shia / Zaidiyyah / Houthis,Abdul-Malik Badreddin al-Houthi / leader,2004,
Islam,,,Ahmadiyya / Ahmadiyya Community,Khalifatul Masih V / Mirza Masroor Ahmad,2003,
Islam,,,Nation of Islam,Louis Farrakhan / head,1981,
Islam,,,Ibadi,Haitham bin Tariq / Sultan of Oman,2015,
Judaism,,,Israel / Ashkenazi,Kalman Ber / Ashkenazi Chief Rabbi,2024,
Judaism,,,Israel / Sephardic,David Yosef / Sephardic Chief Rabbi,2024,
Judaism,,,Israel / Military Rabbinate,Eyal Karim / Chief Rabbi,2016,
Judaism,,,Russia / Congress of the Jewish Religious Organizations and Associations in Russia,Adolf Shayevich / Chief Rabbi of Russia,1993,
Judaism,,,Russia / Federation of Jewish Communities of Russia,Berel Lazar / Chief Rabbi of Russia,2000,
Judaism,,,Ireland,Zalman Lent / Acting Chief Rabbi,2008,
Judaism,,,Chief Rabbis of the United Hebrew Congregations,Ephraim Mirvis / Chief Rabbi,2013,
Judaism,,,Union for Reform Judaism (North America),Richard Jacobs / President,2012,
New religious movements,,,Baháʼí Faith / Universal House of Justice,Paul Lample,2005,
New religious movements,,,Baháʼí Faith / Universal House of Justice,Payman Mohajer,2005,
New religious movements,,,Baháʼí Faith / Universal House of Justice,Shahriar Razavi,2008,
New religious movements,,,Baháʼí Faith / Universal House of Justice,Ayman Rouhani,2013,
New religious movements,,,Baháʼí Faith / Universal House of Justice,Chuungu Malitonga,2013,
New religious movements,,,Baháʼí Faith / Universal House of Justice,Praveen Mallik,2018,
New religious movements,,,Baháʼí Faith / Universal House of Justice,Juan Francisco Mora,2018,
New religious movements,,,Baháʼí Faith / Universal House of Justice,Andrej Donoval,2023,
New religious movements,,,Baháʼí Faith / Universal House of Justice,Albert Nshisu Nsunga,2023,
New religious movements,,,Radha Soami / Radha Soami Satsang Beas,Gurinder Singh / Guru,1990,
New religious movements,,,Radha Soami / Radja Soami Satsang Dayalbagh,Prem Saran Satsangi / Guru,2002,
New religious movements,,,Radha Soami / Radha Swami Satsang / Dinod,Huzur Kanwar Saheb / Guru,present,
New religious movements,,,Scientology / Church of Scientology,David Miscavige / President of Scientology; Chairman of the Board of the Religious Technology Center,1987,
New religious movements,,,Others / Eckankar,Harold Klemp / Mahanta,1981,
New religious movements,,,Others / Elan Vital,Prem Rawat,1983,
New religious movements,,,Others / Falun Gong,Li Hongzhi / Spiritual Master,1992,
New religious movements,,,Others / Guanyin Famen,Ching Hai / Supreme Master,1988,
New religious movements,,,Others / LaVeyan Satanism,Peter H. Gilmore / Magus,2001,
New religious movements,,,Others / Movement of Spiritual Inner Awareness,John K. Morton / Spiritual Director,2014,
New religious movements,,,Others / Science of Spirituality,Rajinder Singh / Spiritual Master,1989,
New religious movements,,,Others / Tenrikyo,Nakayama Zenji / Shinbashira,1998,
Other,,,Jainism / Śvētāmbara Terapanth,Mahashraman,2010,
Other,,,Ravidassia,Niranjan Dass / Sant,2007,
Other,,,Shinto,Naruhito / Emperor of Japan / head of Shinto,2019,
Other,,,Shinto / Jinja Honcho,Atsuko Ikeda / Chairperson,1988,
Other,,,Shinto / Sectarian Shinto / Konkokyo,Heiki Konko / Spiritual Leader,1991,
Other,,,Shinto / Sectarian Shinto / Kurozumikyō,Kurozumi Munemichi / Chief Patriarch,2017,
Other,,,Unitarian Universalism / Unitarian Universalist Association,Sofía Betancourt / President,2023,
Other,,,Voodoo / Vodun / Demanbre,Augustin St. Clou / King of Voodoo,2016,
Other,,,Voodoo / Vodun / National Confederation of Haitian Vodouisants (KNVA),Prospère Louidor / National Ati (Supreme Voodoo Chief),2021,
Other,,,Spiritual Genuinity / Mokshadharma,Amit Goyal (Founder),2019,
Hinduism,,,Gaudiya Vaishnavism / International Society for Krishna Consciousness / Governing Body Commission,Jayapataka Swami / Governing Body Commission member,present,
Islam,,,Ibadi,Ahmed bin Hamad al-Khalili / Grand Mufti of the Sultanate of Oman,present,
Other,,,Mandaeism,Sattar Jabbar Hilo,present,
Other,,,Voodoo / Vodun / Beninese Vodun,Adanyroh Guèdèhounguè / President of National Community of Voodoo Cults of Benin,present,
Other,,,Voodoo / Vodun / Beninese Vodun,Daagbo Hounon Houna II / Supreme Leader of Vodun,present,
Christianity,,,Eastern Orthodoxy / Full Communion / Georgian Orthodox Church,Ilia II / Catholicos-Patriarch of All Georgia,1977,
Christianity,Protestantism,Baptist,Protestantism / Baptist / Africa / Baptist Convention of Angola,Mateus Chaves / President,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / Africa / Baptist Convention of Angola,Alexandre Melo Chilanda / General Secretary,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / Africa / Nigerian Baptist Convention,Uche Enyioha / President,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / Africa / Nigerian Baptist Convention,Solomon Ademola Ishola / General Secretary and CEO,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / Asia / Paku Karen Baptist Association (Burma),Paul Htoo / Executive Secretary,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / India / Ao Baptist Arogo Mungdang,O. Alem / General Secretary,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / India / Manipur Baptist Convention,Vumthang Sitlhou / General Secretary,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / India / Tripura Baptist Christian Union,Rajani Kaipeng / General Secretary,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / Europe / European Baptist Federation,Tony Peck / General Secretary,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / Europe / International Baptist Convention,Jimmy Martin / General Secretary,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / Europe / Convention of the Hungarian Baptist Churches of Romania,Borzási István / President,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / United Kingdom / Baptist Union of Great Britain,Jonathan Edwards / General Secretary,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / Canada / Baptist General Conference of Canada,Jamey McDonald / Executive Director,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / Canada / Canadian Baptist Ministries,Gary Vincent Nelson / General Secretary,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / Canada / Canadian Baptists of Western Canada,Jan Paasuke / President of the Board,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / Canada / Sovereign Grace Fellowship of Canada,Mark Hudson / General Coordinator,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / United States / Alliance of Baptists,Brooks Wicker / President,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / United States / American Baptist Churches USA,A. Roy Medley / General Secretary,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / United States / Baptist Bible Fellowship International,Linzy Slayden / President,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / United States / Baptist General Conference,Jerry Sheveland / President,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / United States / Enterprise Association of Regular Baptists,Eugene Dickerson / Moderator,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / United States / Enterprise Association of Regular Baptists,Roger Ball / President,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / United States / Fundamental Baptist Fellowship International,John Vaughn / President,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / United States / General Association of General Baptists,James Murray / Interim Executive Director,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / United States / General Association of Regular Baptist Churches,John Greening / National Representative,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / United States / National Baptist Convention of America / Inc.,Stephen J. Thurston / President,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / United States / National Baptist Convention of America / Inc.,Samuel C. Tolbert / General Secretary,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / United States / North American Baptist Conference,Rob McCleland / Executive Director,2010,
Christianity,Protestantism,Baptist,Protestantism / Baptist / United States / Ohio Valley Christian Baptist Church of God,Paul Hagen / General Superintendent,2010,
Christianity,Protestantism,Baptist,Ohio Valley Christian Baptist Church of God,Delmar Rogers / General Secretary,2010,
Christianity,Protestantism,Baptist,Progressive National Baptist Convention,Walter Parrish III / General Secretary,2010,
Christianity,Protestantism,Baptist,United American Free Will Baptist Church,Henry J. Rodmon / General Bishop,2010,
Christianity,,,Protestantism / Other protestant / Uniting Church in Australia,Charissa Suli / President,2024,
Islam,,,Sunni / Russia / Spiritual Administration of the Muslims of the Republic of Ingushetia,Muhammed Alboghatchiev / Mufti,present,
Islam,,,Sunni / Ukraine / Spiritual Direction of the Muslims of Crimea (Kyiv),Kirim Esende / Mufti,present,
Islam,,,Sunni / Ukraine / Spiritual Directorate of Muslims of Ukraine,Tamim Ahmed Muhamed Mutah / Mufti,present,
Islam,,,"Sunni / Ukraine / Spiritual Administration of Muslims of Ukraine ""Ummah""",Said Ismagilov / Mufti,present,
Islam,,,Shia / Twelver / Marja' (current list),Ali Khamenei,1985,
