row_number,religion,denomination,sub_denomination,sub_denomination_2,leader,old_since,new_since,precision_before,precision_after,tenure_basis,source_type,source_url,notes
43,Christianity,Eastern Orthodoxy,,Church of Greece,Ieronymos II / Archbishop of Athens and All Greece,2008,February 7th 2008,year,day,enthroned,secondary_wikipedia,https://en.wikipedia.org/wiki/Ieronymos_II_of_Athens,Wikipedia infobox field `enthroned`; Search query `Ieronymos II / Archbishop of Athens and All Greece Church of Greece` matched `Ieronymos II of Athens` with score 45
44,Christianity,Eastern Orthodoxy,,Moldovan Orthodox Church,Vladimir / Metropolitan of Chișinău and all Moldova,1992,December 21st 1992,year,day,enthroned,secondary_wikipedia,https://en.wikipedia.org/wiki/Vladimir_Cantarean,Wikipedia infobox field `enthroned`; Search query `Metropolitan of Chișinău and all Moldova` matched `Vladimir Cantarean` with score 35
45,Christianity,Eastern Orthodoxy,,Polish Orthodox Church,Sawa (Hrycuniak) of Poland / Metropolitan of Warsaw and All Poland,1998,1998,year,year,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Sawa_Hrycuniak,Best candidate `1998` did not improve precision over `1998`; Wikipedia lead extract; Search query `Sawa (Hrycuniak) of Poland / Metropolitan of Warsaw and All Poland Polish Orthodox Church` matched `Sawa Hrycuniak` with score 17
46,Christianity,Eastern Orthodoxy,,Romanian Orthodox Church,Patriarch of All Romania Daniel Ciobotea,2007,September 30th 2007,year,day,enthroned,secondary_wikipedia,https://en.wikipedia.org/wiki/Patriarch_Daniel_of_Romania,Wikipedia infobox field `enthroned`; Search query `Patriarch of All Romania Daniel Ciobotea Romanian Orthodox Church` matched `Patriarch Daniel of Romania` with score 21
47,Christianity,Eastern Orthodoxy,,Russian Orthodox Church,Kirill I / Patriarch of Moscow and All Russia,2009,February 1st 2009,year,day,enthroned,secondary_wikipedia,https://en.wikipedia.org/wiki/Patriarch_Kirill_of_Moscow,Wikipedia infobox field `enthroned`; Search query `Kirill I / Patriarch of Moscow and All Russia Russian Orthodox Church` matched `Patriarch Kirill of Moscow` with score 28
48,Christianity,Eastern Orthodoxy,,Serbian Orthodox Church,Porfirije / Archbishop of Peć / Metropolitan of Belgrade and Karlovci / and Serbian Patriarch,2021,February 19th 2021,year,day,term_start,secondary_wikipedia,"https://en.wikipedia.org/wiki/Porfirije,_Serbian_Patriarch","Wikipedia infobox field `term_start`; Search query `Porfirije / Archbishop of Peć / Metropolitan of Belgrade and Karlovci / and Serbian Patriarch Serbian Orthodox Church` matched `Porfirije, Serbian Patriarch` with score 45"
49,Christianity,Eastern Orthodoxy,,Orthodox Church of Finland,Elia Wallgrén / Archbishop of Helsinki and All Finland,2024,December 1st 2024,year,day,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Elia_Wallgrén,Wikipedia lead extract; Search query `Archbishop of Helsinki and All Finland Orthodox Church of Finland` matched `Elia Wallgrén` with score 42
50,Christianity,Eastern Orthodoxy,,Orthodox Church in America,Tikhon / Metropolitan of All America and Canada,2012,November 13th 2012,year,day,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Tikhon_Mollard,Wikipedia lead extract; Search query `Metropolitan of All America and Canada` matched `Tikhon Mollard` with score 37
51,Christianity,Oriental Orthodoxy,,Armenian Apostolic Church,Karekin II / Catholicos of All Armenians,1999,1999,year,year,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Catholicos_of_All_Armenians,Best candidate `1999` did not improve precision over `1999`; Wikipedia lead extract; Search query `Karekin II of All Armenians` matched `Catholicos of All Armenians` with score 31
52,Christianity,Oriental Orthodoxy,,Armenian Apostolic Church,Aram I / Catholicos of Cilicia,1995,1995,year,year,,manual_review,https://en.wikipedia.org/wiki/Aram_I,Manual review rejected the automated match and restored the original value; Wikipedia lead extract; Search query `Aram I / Catholicos of Cilicia Armenian Apostolic Church` matched `Aram I` with score 37
53,Christianity,Oriental Orthodoxy,,Coptic Orthodox Church of Alexandria,Theodoros II of Alexandria / Pope and Patriarch (Pope Tawadros II),2012,November 18th 2012,year,day,enthroned,secondary_wikipedia,https://en.wikipedia.org/wiki/Pope_Tawadros_II_of_Alexandria,Wikipedia infobox field `enthroned`; Search query `Theodoros II of Alexandria / Pope and Patriarch (Pope Tawadros II) Coptic Orthodox Church of Alexandria` matched `Pope Tawadros II of Alexandria` with score 27
54,Christianity,Oriental Orthodoxy,,Eritrean Orthodox Church,Patriach Abune Basilos,2024,January 26th 2025,year,day,appointed,secondary_wikipedia,https://en.wikipedia.org/wiki/Abune_Basilos,Wikipedia infobox field `appointed`; Search query `Patriach Abune Basilos Eritrean Orthodox Church` matched `Abune Basilos` with score 11
