row_number,religion,denomination,sub_denomination,sub_denomination_2,leader,old_since,new_since,precision_before,precision_after,tenure_basis,source_type,source_url,notes
106,Christianity,Protestantism,Protestantism,Protestantism / Other protestant / Christian Church (Disciples of Christ),Teresa Hord Owens / General Minister and President,2017,2017,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Christian_Church_(Disciples_of_Christ),Search query `Teresa Hord Owens Protestantism` matched `Christian Church (Disciples of Christ)` with score 17
107,Christianity,Protestantism,Protestantism,Protestantism / Other protestant / Seventh-day Adventists,Erton Köhler / General Conference President,2025,July 4th 2025,year,day,term_start,secondary_wikipedia,https://en.wikipedia.org/wiki/Erton_Köhler,Wikipedia infobox field `term_start`; Search query `Erton Köhler Protestantism` matched `Erton Köhler` with score 36
108,Christianity,Protestantism,Protestantism,Protestantism / Other protestant / General Assembly of Unitarian and Free Christian Churches (UK),Liz Slade / Chief Officer,2019,2019,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Unitarian_Universalism,Search query `Liz Slade / Chief Officer Protestantism / Other protestant / General Assembly of Unitarian and Free Christian Churches (UK)` matched `Unitarian Universalism` with score 11
109,Christianity,Protestantism,Protestantism,Uniting Church in Australia,Colleen Geyer / General Secretary,2016,2016,year,year,,secondary_wikipedia,"https://en.wikipedia.org/wiki/Uniting_Church_in_Australia,_Synod_of_New_South_Wales_and_the_ACT","Search query `Colleen Geyer Uniting Church in Australia` matched `Uniting Church in Australia, Synod of New South Wales and the ACT` with score 12"
110,Christianity,Protestantism,Protestantism,United Church of Canada,Kimberly Heath / Moderator,2025,2025,year,year,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Kimberly_Heath,Best candidate `2025` did not improve precision over `2025`; Wikipedia lead extract; Search query `Kimberly Heath / Moderator United Church of Canada` matched `Kimberly Heath` with score 36
111,Christianity,Protestantism,Anglicanism,Anglicanism / Provinces of the Anglican Communion / Church of England / Formal leadership,Charles III / Supreme Governor of the Church of England,2022,September 8th 2022,year,day,accession,manual_curated,https://en.wikipedia.org/wiki/Charles_III,Manual update: Charles III acceded on September 8th 2022 and thereby became Supreme Governor of the Church of England.
112,Christianity,Protestantism,Anglicanism,Anglicanism / Provinces of the Anglican Communion / Church of England / Effective leadership,Sarah Mullally / Archbishop of Canterbury,2026,February 5th 2026,year,day,term_start,secondary_wikipedia,https://en.wikipedia.org/wiki/Sarah_Mullally,Wikipedia infobox field `term_start`; Search query `Sarah Mullally of Canterbury` matched `Sarah Mullally` with score 35
113,Christianity,Protestantism,Anglicanism,Anglicanism / Provinces of the Anglican Communion / Anglican Church of Australia,Mark Short / Primate,2025,2025,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Primates_in_the_Anglican_Communion,Search query `Mark Short / Primate Anglicanism / Provinces of the Anglican Communion / Anglican Church of Australia` matched `Primates in the Anglican Communion` with score 10
114,Christianity,Protestantism,Anglicanism,Anglicanism / Provinces of the Anglican Communion / Anglican Church of Canada,Shane Parker / Primate,2025,2025,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/General_Synod_of_the_Anglican_Church_of_Canada,Search query `Shane Parker / Primate Anglicanism / Provinces of the Anglican Communion / Anglican Church of Canada` matched `General Synod of the Anglican Church of Canada` with score 14
115,Christianity,Protestantism,Anglicanism,Anglicanism / Provinces of the Anglican Communion / Episcopal Church in the United States of America,Sean Rowe / Presiding Bishop,2024,2024,year,year,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Sean_Rowe,Best candidate `2024` did not improve precision over `2024`; Wikipedia lead extract; Search query `Sean Rowe Protestantism` matched `Sean Rowe` with score 39
116,Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Anglican Catholic Church,Mark Haverland / Metropolitan of the Original Province,2005,2005,year,year,enthroned,secondary_wikipedia,https://en.wikipedia.org/wiki/Mark_Haverland,Best candidate `2005` did not improve precision over `2005`; Wikipedia infobox field `enthroned`; Search query `Mark Haverland / Metropolitan of the Original Province Anglicanism / Continuing Anglicanism / Anglican Catholic Church` matched `Mark Haverland` with score 37
117,Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Anglican Orthodox Church,Jerry L. Ogles / Presiding Bishop,2003,2003,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Traditional_Protestant_Episcopal_Church,Search query `Jerry L. Ogles / Presiding Bishop Anglicanism / Continuing Anglicanism / Anglican Orthodox Church` matched `Traditional Protestant Episcopal Church` with score 20
118,Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Federation of Anglican Churches in the Americas / Anglican Church in America,Louis Falk / President of the House of Bishops,2005,2005,year,year,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Louis_Falk,Best candidate `1976` did not improve precision over `2005`; Wikipedia lead extract; Search query `Louis Falk of the House of Bishops` matched `Louis Falk` with score 41
119,Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Federation of Anglican Churches in the Americas / Anglican Province of America,Chandler Holder Jones / Presiding Bishop,2021,2021,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Ecumenical_council,Search query `Chandler Holder Jones Protestantism` matched `Ecumenical council` with score 12
120,Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Diocese of the Holy Cross,Paul C. Hewett / Diocesan Bishop,2006,2006,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Diocese_of_the_Holy_Cross,Search query `Paul C. Hewett` matched `Diocese of the Holy Cross` with score 21
121,Christianity,Protestantism,Anglicanism,Episcopal Missionary Church,Council Nedd II / Presiding Bishop,2005,2005,year,year,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/National_Center_for_Public_Policy_Research,Best candidate `1986` did not improve precision over `2005`; Wikipedia lead extract; Search query `Council Nedd II` matched `National Center for Public Policy Research` with score 8
122,Christianity,Protestantism,Anglicanism,Reformed Episcopal Church,Ray Sutton / Presiding Bishop,2017,2017,year,year,years,secondary_wikipedia,https://en.wikipedia.org/wiki/Ray_Sutton,Best candidate `2014` did not improve precision over `2017`; Wikipedia infobox field `years`; Search query `Ray Sutton / Presiding Bishop Reformed Episcopal Church` matched `Ray Sutton` with score 36
123,Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Fellowship of Confessing Anglicans,Eliud Wabukala / Chairman,2008,2008,year,year,,secondary_wikipedia,"https://en.wikipedia.org/wiki/Wycliffe_College,_Toronto","Search query `Eliud Wabukala Protestantism` matched `Wycliffe College, Toronto` with score 9"
124,Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Anglican Church in North America,Steve Wood / Primate,2024,2024,year,year,,manual_review,https://en.wikipedia.org/wiki/Calvin_Robinson,Manual review rejected the automated match and restored the original value; Wikipedia lead extract; Search query `Steve Wood Anglicanism / Continuing Anglicanism / Anglican Church in North America` matched `Calvin Robinson` with score 12
125,Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Church of England in South Africa,Desmond Inglesby / Presiding Bishop,2010,2010,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Reformed_Evangelical_Anglican_Church_of_South_Africa,Search query `Desmond Inglesby` matched `Reformed Evangelical Anglican Church of South Africa` with score 9
126,Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / North American Anglican Conference / Anglican Episcopal Church,George Connor / Presiding Bishop,2006,2006,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Diocese_of_Connor_(Church_of_Ireland),Search query `George Connor Protestantism` matched `Diocese of Connor (Church of Ireland)` with score 8
127,Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / North American Anglican Conference / Diocese of the Great Lakes,David T. Hustwick / Bishop Ordinary,2002,2002,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Continuing_Anglican_movement,Search query `David T. Hustwick` matched `Continuing Anglican movement` with score 19
128,Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Orthodox Anglican Communion,Thomas Gordon / Metropolitan Archbishop,2015,2015,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Gordon_Riots,Search query `Thomas Gordon Protestantism` matched `Gordon Riots` with score 9
129,Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Orthodox Anglican Communion / Orthodox Anglican Church,Thomas Gordon / Presiding Bishop,2015,2015,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Orthodox_Anglican_Communion,Search query `Thomas Gordon / Presiding Bishop Anglicanism / Continuing Anglicanism / Orthodox Anglican Communion / Orthodox Anglican Church` matched `Orthodox Anglican Communion` with score 11
130,Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Traditional Anglican Communion,Shane B. Jenzen / Primate,2017,2017,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Samuel_Prakash,Search query `Shane B. Jenzen / Primate Anglicanism / Continuing Anglicanism / Traditional Anglican Communion` matched `Samuel Prakash` with score 11
131,Christianity,Protestantism,Anglicanism,Anglican Catholic Church in Australia,Michael Pope / Archbishop,2013,2013,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/The_Traditional_Anglican_Church_in_Australia,Search query `Michael Pope Anglican Catholic Church in Australia` matched `The Traditional Anglican Church in Australia` with score -5
132,Christianity,Protestantism,Anglicanism,Anglican Catholic Church of Canada,Peter Wilkinson / Bishop and Metropolitan,2005,2005,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Peter_Wilkinson_(priest),Search query `Peter Wilkinson Anglican Catholic Church of Canada` matched `Peter Wilkinson (priest)` with score 37
133,Christianity,Protestantism,Anglicanism,Anglican Church of India,Stephen Vattappara / Metropolitan Bishop,1990,1990,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Anglican_Church_of_India,Search query `Stephen Vattappara / Metropolitan Bishop Anglican Church of India` matched `Anglican Church of India` with score 12
134,Christianity,Protestantism,Anglicanism,Anglicanism / Continuing Anglicanism / Traditional Anglican Communion / Anglican Church in America,Louis Falk / President of the House of Bishops,2005,2005,year,year,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Louis_Falk,Best candidate `1976` did not improve precision over `2005`; Wikipedia lead extract; Search query `Louis Falk of the House of Bishops` matched `Louis Falk` with score 41
135,Christianity,Protestantism,Anglicanism,United Episcopal Church of North America,Peter D. Robinson / Presiding Bishop,2010,2010,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/List_of_presiding_bishops_of_the_Episcopal_Church_in_the_United_States_of_America,Search query `Presiding Bishop United Episcopal Church of North America` matched `List of presiding bishops of the Episcopal Church in the United States of America` with score 24
136,Christianity,,,Other Christian denominations / Believers Eastern Church,Samuel Theophilus / Metropolitan,2024,2024,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Believers_Eastern_Church,Search query `Samuel Theophilus` matched `Believers Eastern Church` with score 12
137,Christianity,,,Other Christian denominations / Church of God Ministry of Jesus Christ International,María Luisa Piraquive / World Leader,1996,1996,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Church_of_God_Ministry_of_Jesus_Christ_International,Search query `María Luisa Piraquive Other Christian denominations / Church of God Ministry of Jesus Christ International` matched `Church of God Ministry of Jesus Christ International` with score 15
138,Christianity,,,Other Christian denominations / Assyrian Church of the East,Mar Awa III / Patriarch,2021,September 13th 2021,year,day,enthroned,secondary_wikipedia,https://en.wikipedia.org/wiki/Awa_III,Wikipedia infobox field `enthroned`; Search query `Mar Awa III` matched `Awa III` with score 20
139,Christianity,,,Other Christian denominations / Ancient Church of the East,Yacob III Daniel / Patriarch,2022,2022,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Ancient_Church_of_the_East,Search query `Yacob III Daniel` matched `Ancient Church of the East` with score 16
140,Christianity,,,Other Christian denominations / Malankara Marthoma Syrian Church,Theodosius Mar Thoma / Marthoma Metropolitan,2020,November 14th 2020,year,day,manual_review,secondary_wikipedia,https://en.wikipedia.org/wiki/Theodosius_Mar_Thoma,Manual review corrected this row to the enthronement date on the Theodosius Mar Thoma page.
141,Christianity,,,Other Christian denominations / Members Church of God International,Daniel Soriano Razon / Presiding Minister,2021,2021,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Daniel_Razon,Search query `Daniel Soriano Razon / Presiding Minister Other Christian denominations / Members Church of God International` matched `Daniel Razon` with score 19
142,Christianity,,,Other Christian denominations / The Church of Jesus Christ of Latter-day Saints,Dallin H. Oaks / President,2025,2025,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/The_Church_of_Jesus_Christ_of_Latter-day_Saints,Search query `Dallin H. Oaks / President Other Christian denominations / The Church of Jesus Christ of Latter-day Saints` matched `The Church of Jesus Christ of Latter-day Saints` with score 14
143,Christianity,,,Other Christian denominations / Iglesia ni Cristo,Eduardo V. Manalo / Executive Minister,2009,2009,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Felix_Manalo,Search query `Executive Minister Other Christian denominations / Iglesia ni Cristo` matched `Felix Manalo` with score 14
144,Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Gerrit Lösch,1994,1994,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Jehovah's_Witnesses,Search query `Other Christian denominations / Jehovah's Witnesses / Governing Body` matched `Jehovah's Witnesses` with score -5
145,Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Samuel F. Herd,1999,1999,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Governing_Body_of_Jehovah's_Witnesses,Search query `Samuel F. Herd Other Christian denominations / Jehovah's Witnesses / Governing Body` matched `Governing Body of Jehovah's Witnesses` with score 13
146,Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,M. Stephen Lett,1999,1999,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Jehovah's_Witnesses,Search query `Other Christian denominations / Jehovah's Witnesses / Governing Body` matched `Jehovah's Witnesses` with score 10
147,Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,David H. Splane,1999,1999,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Jehovah's_Witnesses,Search query `Other Christian denominations / Jehovah's Witnesses / Governing Body` matched `Jehovah's Witnesses` with score 14
148,Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Geoffrey W. Jackson,2005,2005,year,year,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Jehovah's_Witnesses'_handling_of_child_sexual_abuse,Best candidate `1950` did not improve precision over `2005`; Wikipedia lead extract; Search query `Geoffrey W. Jackson Other Christian denominations / Jehovah's Witnesses / Governing Body` matched `Jehovah's Witnesses' handling of child sexual abuse` with score 14
149,Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,D. Mark Sanderson,2012,2012,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Governing_Body_of_Jehovah's_Witnesses,Search query `D. Mark Sanderson Other Christian denominations / Jehovah's Witnesses / Governing Body` matched `Governing Body of Jehovah's Witnesses` with score 13
150,Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Kenneth E. Cook Jr,2018,2018,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Governing_Body_of_Jehovah's_Witnesses,Search query `Kenneth E. Cook Jr` matched `Governing Body of Jehovah's Witnesses` with score 22
151,Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Gage Fleegle,2023,2023,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Jehovah's_Witnesses,Search query `Other Christian denominations / Jehovah's Witnesses / Governing Body` matched `Jehovah's Witnesses` with score -5
152,Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Jeffrey Winder,2023,2023,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Satan,Search query `Jeffrey Winder Other Christian denominations / Jehovah's Witnesses / Governing Body` matched `Satan` with score 6
153,Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Jody Jedele,2024,2024,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Governing_Body_of_Jehovah's_Witnesses,Search query `Jody Jedele` matched `Governing Body of Jehovah's Witnesses` with score 12
154,Christianity,,,Other Christian denominations / Jehovah's Witnesses / Governing Body,Jacob Rumph,2024,2024,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Governing_Body_of_Jehovah's_Witnesses,Search query `Jacob Rumph` matched `Governing Body of Jehovah's Witnesses` with score 12
155,Christianity,,,Other Christian denominations / National Council of the Churches of Christ in the USA,Jim Winkler / General Secretary,2014,2014,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Ecumenical_Catholic_Communion,Search query `Jim Winkler / General Secretary Other Christian denominations / National Council of the Churches of Christ in the USA` matched `Ecumenical Catholic Communion` with score 10
156,Christianity,,,Other Christian denominations / Unification Church,Hak Ja Han / 'True Mother'/Acting Leader,2012,2012,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Hak_Ja_Han,Search query `Hak Ja Han Other Christian denominations / Unification Church` matched `Hak Ja Han` with score 39
157,Christianity,,,Other Christian denominations / World Council of Churches,Jerry Pillay / General Secretary,2023,2023,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/South_African_Council_of_Churches,Search query `Jerry Pillay / General Secretary Other Christian denominations / World Council of Churches` matched `South African Council of Churches` with score 8
158,Hinduism,,,Ramanandi Sampradaya,Rambhadracharya / Jagadguru Acharya,1988,1988,year,year,extract,secondary_wikipedia,https://en.wikipedia.org/wiki/Rambhadracharya,Best candidate `1988` did not improve precision over `1988`; Wikipedia lead extract; Search query `Jagadguru Acharya Ramanandi Sampradaya` matched `Rambhadracharya` with score 36
159,Hinduism,,,Sanatan Dharma Maha Sabha,Rampersad Parasram / Dharmacharya,2019,2019,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Rampersad_Parasram,Search query `Rampersad Parasram Sanatan Dharma Maha Sabha` matched `Rampersad Parasram` with score 39
160,Hinduism,,,Gaudiya Vaishnavism / Gaudiya Mission,Bhakti Sundar Sanyasi Maharaj / president-acharya,2018,2018,year,year,,manual_review,https://en.wikipedia.org/wiki/Gaudiya_Mission,Manual review rejected the automated match and restored the original value; Wikipedia lead extract; Search query `Bhakti Sundar Sanyasi Maharaj` matched `Gaudiya Mission` with score 23
161,Hinduism,,,Gaudiya Vaishnavism / Gaudiya Vedanta Samiti,Bhakti Vedanta Budhayan Goswami / president-acharya,2020,2020,year,year,period,secondary_wikipedia,https://en.wikipedia.org/wiki/Bhakti_Prajnan_Keshava,Best candidate `1940` did not improve precision over `2020`; Wikipedia infobox field `period`; Search query `president-acharya Gaudiya Vaishnavism / Gaudiya Vedanta Samiti` matched `Bhakti Prajnan Keshava` with score 17
162,Hinduism,,,Gaudiya Vaishnavism / Science of Identity Foundation,Siddhaswarupananda Paramahamsa,1977,1977,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Gaudiya_Vaishnavism,Search query `Siddhaswarupananda Paramahamsa` matched `Gaudiya Vaishnavism` with score 13
163,Hinduism,,,Gaudiya Vaishnavism / Sri Caitanya Prema Samsthana,Shrivatsa Goswami / director,1972,1972,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Shrivatsa_Goswami,Search query `director Gaudiya Vaishnavism / Sri Caitanya Prema Samsthana` matched `Shrivatsa Goswami` with score 37
164,Hinduism,,,Gaudiya Vaishnavism / Sri Chaitanya Saraswat Math,Bhakti Nirmal Acharya / president-acharya,2010,2010,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Bhakti_Rakshak_Sridhar,Search query `president-acharya Gaudiya Vaishnavism / Sri Chaitanya Saraswat Math` matched `Bhakti Rakshak Sridhar` with score 18
165,Hinduism,,,Gaudiya Vaishnavism / The Vaishnava Foundation,Kailasa Candra Dasa,1986,1986,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Kailasa_Candra_Dasa,Search query `Kailasa Candra Dasa Gaudiya Vaishnavism / The Vaishnava Foundation` matched `Kailasa Candra Dasa` with score 41
166,Hinduism,,,Gaudiya Vaishnavism / World Vaisnava Association,Srila Bhakti B. Tirtha Maharaj / President,2002,2002,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Bhakti_Ballabh_Tirtha,Search query `Srila Bhakti B. Tirtha Maharaj / President Gaudiya Vaishnavism / World Vaisnava Association` matched `Bhakti Ballabh Tirtha` with score 28
167,Hinduism,,,Smarta tradition / Shankaracharyas,Swami Nischalanand Saraswati / Shankaracharya of Govardhan Math / Puri,1992,1992,year,year,term_start,secondary_wikipedia,https://en.wikipedia.org/wiki/Nishchalananda_Saraswati,Best candidate `1992` did not improve precision over `1992`; Wikipedia infobox field `term_start`; Search query `Shankaracharya of Govardhan Math / Puri` matched `Nishchalananda Saraswati` with score 22
168,Hinduism,,,Smarta tradition / Shankaracharyas,Swami Bharati Tirtha Mahasannidhanam / Shankaracharya of Sringeri Sharada Peetham / Sringeri,1974,1974,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Sringeri_Sharada_Peetham,Search query `Swami Bharati Tirtha Mahasannidhanam / Shankaracharya of Sringeri Sharada Peetham / Sringeri Smarta tradition / Shankaracharyas` matched `Sringeri Sharada Peetham` with score 28
169,Hinduism,,,Swaminarayan Sampradaya / Ahmedabad Nar Narayan Dev Gadi,Acharya Shree Koshalendraprasadji Maharaj,2004,2004,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Narnarayan_Dev_Yuvak_Mandal,Search query `Acharya Shree Koshalendraprasadji Maharaj Swaminarayan Sampradaya / Ahmedabad Nar Narayan Dev Gadi` matched `Narnarayan Dev Yuvak Mandal` with score 18
170,Hinduism,,,Swaminarayan Sampradaya / Vadtal Laxmi Narayan Dev Gadi,Acharya Shree Ajendraprasadji Maharaj,1984,1984,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Lakshmi_Narayan_Dev_Gadi,Search query `Acharya Shree Ajendraprasadji Maharaj` matched `Lakshmi Narayan Dev Gadi` with score 17
171,Hinduism,,,Swaminarayan Sampradaya / Vadtal Laxmi Narayan Dev Gadi / Swaminarayan Gurukul,Guruvarya Shri Devkrushnadasji Swami,1974,1974,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Swaminarayan_Gurukul,Search query `Guruvarya Shri Devkrushnadasji Swami` matched `Swaminarayan Gurukul` with score 21
172,Hinduism,,,Swaminarayan Sampradaya / Vadtal Laxmi Narayan Dev Gadi / Swaminarayan Gurukul,Acharya Shree Rakeshprasadji Maharaj,2003,2003,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Rakeshprasad,Search query `Acharya Shree Rakeshprasadji Maharaj Swaminarayan Sampradaya / Vadtal Laxmi Narayan Dev Gadi / Swaminarayan Gurukul` matched `Rakeshprasad` with score 8
173,Hinduism,Vaishnavite,Swaminarayan Samprayada,BAPS,Mahant Swami Maharaj,2016,2016,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Mahant_Swami_Maharaj,Search query `Mahant Swami Maharaj BAPS` matched `Mahant Swami Maharaj` with score 41
174,Hinduism,,,Swaminarayan Sampradaya / Swaminarayan Mandir Vasna Sanstha,HDH Swamishri / President,2019,2019,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Swaminarayan_Mandir_Vasna_Sanstha,Search query `HDH Swamishri` matched `Swaminarayan Mandir Vasna Sanstha` with score 16
175,Hinduism,,,Swaminarayan Sampradaya / Gunatit Samaj,Premswarup Swamiji Maharaj / President-Haridham Sokhada / HSAPSS,2021,2021,year,year,,manual_review,https://en.wikipedia.org/wiki/List_of_21st-century_religious_leaders,Manual review rejected the automated match and restored the original value; Wikipedia lead extract; Search query `Premswarup Swamiji Maharaj / President-Haridham Sokhada / HSAPSS Swaminarayan Sampradaya / Gunatit Samaj` matched `List of 21st-century religious leaders` with score 8
176,Hinduism,,,Swaminarayan Sampradaya / Gunatit Samaj,Jashbhai Sahebji - Anoopam Mission,1966,1966,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Swaminarayan_Sampradaya,Search query `Anoopam Mission Swaminarayan Sampradaya / Gunatit Samaj` matched `Swaminarayan Sampradaya` with score 12
177,Hinduism,,,Swaminarayan Sampradaya / Swaminarayan Gadi (Maninagar),Jitendrapriyadasji Swami,2020,2020,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Swaminarayan_Sampradaya,Search query `Jitendrapriyadasji Swami` matched `Swaminarayan Sampradaya` with score 17
178,Hinduism,,,Hindu new movements / Art of Living Foundation,Sri Sri Ravishankar / Spiritual Leader / Humanitarian,1981,1981,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Ravi_Shankar_(spiritual_leader),Search query `Spiritual Leader / Humanitarian` matched `Ravi Shankar (spiritual leader)` with score 10
179,Hinduism,,,Hindu new movements / Isha Foundation,Sadhguru Jaggi Vasudev,1992,1992,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Modern_yoga,Search query `Sadhguru Jaggi Vasudev Hindu new movements / Isha Foundation` matched `Modern yoga` with score 11
180,Hinduism,,,Hindu new movements / Jagadguru Kripalu Parishat,Vishaka Tripathi (President),present,present,present,present,,manual_review,https://en.wikipedia.org/wiki/Naagin_(2015_TV_series),Manual review rejected the automated match and restored the original value; Wikipedia lead extract; Search query `Vishaka Tripathi` matched `Naagin (2015 TV series)` with score 3
181,Hinduism,,,Hindu new movements / Jagadguru Kripalu Parishat,Shyama Tripathi (President),present,present,present,present,,secondary_wikipedia,https://en.wikipedia.org/wiki/Jagadguru_Kripalu_Parishat,Search query `Shyama Tripathi` matched `Jagadguru Kripalu Parishat` with score 14
182,Hinduism,,,Hindu new movements / Jagadguru Kripalu Parishat,Krishna Tripathi (President),present,2013,present,year,term_start1,secondary_wikipedia,https://en.wikipedia.org/wiki/Krishna_Nand_Tripathi,Wikipedia infobox field `term_start1`; Search query `Krishna Tripathi` matched `Krishna Nand Tripathi` with score 14
183,Hinduism,,,Hindu new movements / Mahanam Sampraday,Upashak Bandhu Bhramachariji (India),present,present,present,present,,manual_review,https://en.wikipedia.org/wiki/List_of_21st-century_religious_leaders,Manual review rejected the automated match and restored the original value; Wikipedia lead extract; Search query `Upashak Bandhu Bhramachariji (India) Hindu new movements / Mahanam Sampraday` matched `List of 21st-century religious leaders` with score 1
184,Hinduism,,,Hindu new movements / Mahanam Sampraday,Kanti Bandhu Bhramachariji (Bangladesh),present,present,present,present,,manual_review,https://en.wikipedia.org/wiki/List_of_21st-century_religious_leaders,Manual review rejected the automated match and restored the original value; Wikipedia lead extract; Search query `Kanti Bandhu Bhramachariji (Bangladesh) Hindu new movements / Mahanam Sampraday` matched `List of 21st-century religious leaders` with score 1
185,Hinduism,,,Hindu new movements / Mata Amritanandamayi Math,Mata Amritanandamayi / Spiritual Leader / Humanitarian,1981,1981,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Mata_Amritanandamayi_Math,Search query `Mata Amritanandamayi / Spiritual Leader / Humanitarian Hindu new movements / Mata Amritanandamayi Math` matched `Mata Amritanandamayi Math` with score 44
186,Hinduism,,,Hindu new movements / Ramakrishna Mission/Vedanta Society,Swami Gautamananda / President,2024,2024,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Swami_Smaranananda,Search query `Swami Gautamananda` matched `Swami Smaranananda` with score 12
187,Islam,Sunni,Barelvi,Sunni / International / Barelvi movement / Dawat-e-Islami,Muhammad Ilyas Qadri / Amir of Ahlussunnah–Emir of Sunnis,1981,1981,year,year,,secondary_wikipedia,https://en.wikipedia.org/wiki/Ilyas_Qadri,Search query `Muhammad Ilyas Qadri Sunni` matched `Ilyas Qadri` with score 20
